sample_index,reference,real_eeg,shuffled_eeg,exact_match
0,"Despite his father's opposition to him having a foreign-born wife, Adams wed Louisa Johnson in 1797.","After a year with the University of California, Los Angeles, he joined the University in 1975 and then joined the Washington University.",He graduated from Dartmouth College in 1953.,False
1,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.","The movie is a good example of the way the film is made, and it's a good one that has a lot more depth.","The movie is a good example of the way the film is made, and it's a good one that has a lot more depth.",True
2,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.","In 1876, he was elected to the United States House of Representatives as a Democrat and was a member of the House of Commons.","The movie is a little too far beyond the original's original, but it's a lot more than that.",False
3,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.",He was elected to the House of Representatives in the House for the Democratic Party.,He was educated at the University of Pennsylvania and then entered the United States.,False
4,"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.",He was elected to the House of Representatives as a Democrat from New York City in the House.,"The movie is a work of a movie that, while it's a work, is a movie with a lot to be funny.",False
5,His work dealt largely with the poor urban black and mulatto communities of Bahia.,"He was a member of the United States Army until January of 1917, and was a general contractor.","He was born in New York City in 1887, and was educated at the University of Pennsylvania, where he was a student of Charles Darwin and later as a lecturer in philosophy.",False
6,His gift of $5 million dollars helped found the Great Smoky Mountains National Park.,"In 1876, he founded the company, and in 1876 he founded a company, the New York City company.","The film's a work of art, but it's also a work.",False
7,"Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.","John Fitzgerald Kennedy (born May 18, 18, in St. John, Massachusetts) was a United States Secretary of the House of Representatives from the Senate from the Republican Party from the House representing New York.","In 1876, he was elected to the United States House of Representatives as a Democrat and was a member of the House of Commons.",False
8,Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a**holes.,"The film's a work of the director, who has a way of conceited characters that's both entertaining and also a little bit creepy.","In 1876, he founded the founding of the Standard Oil Company, and was the founding Standard Oil Corporation, and later the Standard Bank of New York City.",False
9,"His grandfather, also named William Seward Burroughs, founded the Burroughs Adding Machine company, which evolved into the Burroughs Corporation.","In 1876, he founded the founding of the Standard Oil Company, and was the founding Standard Oil Corporation, and later the Standard Bank of New York City.",He was educated at the University of Pennsylvania.,False
10,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...","The movie is a work of a movie that, while it's a work, is a movie with a lot to be funny.",He served as the Governor of the United States from 1876 until his death in 1891.,False
11,"Miguel Ferrer (born February 7, 1955 in Santa Monica, California) is a Puerto Rican-American actor who is often cast in movies as a villain.","Elliott married Margot de Otero (born April 18, 18, in St. Louis) was an American actress.","The film's a work of the director, who has a way of conceited characters that's both entertaining and also a little bit creepy.",False
12,"The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.","The movie's a good example of the way to a good movie, one that's both a good one, is a work of art that's a lot to say.","In 1876, he founded the company, and in 1876 he founded a company, the New York City company.",False
13,Exceptionally well acted by Diane Lane and Richard Gere.,The film is a work of impeccable performances.,He was elected to the House of Representatives in the House for the Democratic Party.,False
14,He began to learn mathematics around age twelve.,He graduated from the University of Pennsylvania in 1953 and then earned a Bachelor of Arts from the economics from the same course.,He is a member of the founding of the American Century.,False
15,"Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).",He served as the Governor of the United States from 1876 until his death in 1891.,He graduated from the University of Pennsylvania in 1953 and then earned a Bachelor of Arts from the economics from the same course.,False
16,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.","The film's a bit too far into the story, but it's a good one that has a lot of depth.","The film's a work of art, but it's a bit too far.",False
