sample_index,reference,real_eeg,shuffled_eeg,exact_match
0,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.",The movie is a blast of energy and the visual style are put to perfect use in an artificial creation that never quite captures its original vision.,"The film is a thinly veiled look at the lives of ordinary people living in this idyllic, dreamlike life.",False
1,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.","The movie is a great story, but it also has plenty of room for the audience to be entertained by its flawed characters.","The movie is a great story, but it also has plenty of room for the audience to be entertained by its flawed characters.",True
2,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.","He was a member of the Skull and Bones society, as well as a founder of the Rock and Roll Hall of Fame.","He married Coretta Scott on June 5, 1953.",False
3,"John Drew Barrymore, also known as John Barrymore, Jr., (June 4, 1929 - November 29, 2004) was an actor, one of The Barrymores, a family of actors that included his father, John Barrymore, and his father's siblings, his uncle Lionel and his aunt Ethel.","John Davison Rockefeller (January 30, 1876 - December 23, 1963) was an American capitalist most known for his role in the early petroleum industry.",A work of extraordinary intelligence and astonishingly unfunny.,False
4,"Edric Frederick Gifford, 3rd Baron Gifford, VC (5 July 1849 - 5 June 1911) was an English recipient of the Victoria Cross, the highest and most prestigious award for gallantry in the face of the enemy that can be awarded to British and Commonwealth forces.","He was awarded the 1921 Nobel Prize for Physics, along with his explanation of ""miracle year"" and ""for his services to astronomy in 1905"".","The movie is a great story, but it's also one that will leave you wondering if there are any movies in the entire duration of its runtime -- and whether or not they'll be able to tell.",False
5,"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.","The film is a great example of how the power of money to buy and spend their time inane, emotionally malleable objects.",The film is a work of astonishing grace and eloquence.,False
6,He also starred in the mini series The Stand.,"He married Coretta Scott on June 12, 1953.","The movie is so bad that it almost ceases to be entertaining, and the audience will probably forget all about its original.",False
7,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.","The movie is so bad that it almost ceases to be funny, and the audience has little patience for satire.","He was a member of the Skull and Bones society, as well as a founder of the Rock and Roll Hall of Fame.",False
8,"Like the best of Godard's movies... it is visually ravishing, penetrating, impenetrable.","It's not a particularly good film, but neither is it one that should be.","He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Elena Ferrer (1875-1948).",False
9,"Hutchinson emigrated from England to Massachusetts in 1634, in response to the preacher John Cotton's doing so.","He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Elena Ferrer (1875-1948).",He was a member of the left-wing Democratic Party and is currently aligned with the Federalists.,False
10,"Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... that ultimately dulls the human tragedy at the story's core.","The movie is a great story, but it's also one that will leave you wondering if there are any movies in the entire duration of its runtime -- and whether or not they'll be able to tell.","It's a great American adventure, but it also has plenty of flaws.",False
11,President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.,He was awarded the Presidential Medal of Freedom in recognition of his services to humanitarian causes.,"It's not a particularly good film, but neither is it one that should be.",False
12,He began to learn mathematics around age twelve.,He graduated from Harvard in 1876.,"He married Coretta Scott on June 12, 1953.",False
13,"He was elected the Natrona County High School senior class president, represented the school at Boys State, and played halfback on the football team.",He graduated from Morehouse College with a Bachelor of Arts degree in Sociology in 1948.,"John Davison Rockefeller (January 30, 1876 - December 23, 1963) was an American capitalist most known for his role in the early petroleum industry.",False
14,"Some say this was because of a bargain he struck with Henry Clay, which put Clay into office as his Secretary of State once Adams won.","He was a member of the Skull and Bones society, as well as one of its earliest followers.","He was born in San Juan, Puerto Rico to a Cuban immigrant family.",False
15,... something appears to have been lost in the translation this time.,"It's a great American adventure, but it also has plenty of flaws.","He was a member of the Skull and Bones society, as well as one of its earliest followers.",False
16,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.","The movie is a great example of how intolerance has the power to tear apart families, and it also offers some glimpses at our values.",The movie is so bad that it almost ceases to be entertaining.,False
17,"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.",A work of extraordinary intelligence and astonishingly unfunny.,"John Fitzgerald Kennedy (May 23, 1787 - April 5, 1876) was an American politician most known for his role in the assassination of President John F. Kennedy and as Secretary to Defense under President James Monroe.",False
18,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,"The movie is so bad that it almost ceases to be entertaining, and the audience will probably forget all about its original.",A work of extraordinary courage.,False
19,He was then hired by the legal department of CBS subsidiary Columbia Records.,"He was a member of the Skull and Bones society, as well as an occasional guest star on The Simpsons.","He was a member of the Skull and Bones society, as well as an occasional guest star on The Simpsons.",True
